Ticker,PG,PG,PG,PG,PG
Price,Open,High,Low,Close,Volume
Date,,,,,
2025-07-23,157.1212662533838,157.77668661947166,156.58500771646584,157.18084716796875,4804800
2025-07-24,157.76674949486846,157.91571693711268,156.9524517246759,157.70716857910156,7027400
2025-07-25,156.24737400986112,157.33974129770593,155.92960407792336,157.20071411132812,5799900
2025-07-28,156.5353598320872,156.99215692470844,155.14507289368441,156.0189666748047,7885000
2025-07-29,157.54827253389936,157.54827253389936,153.7647329385151,155.52244567871094,11466100
2025-07-30,155.90972831611163,155.90972831611163,150.99410615454462,151.81834411621094,8162900
2025-07-31,150.74584512973325,150.94445322182833,148.86897062670647,149.42507934570312,11845400
2025-08-01,150.7259784831005,152.42411023453823,149.47473387607997,149.60382080078125,8594200
2025-08-04,149.20660556504535,150.40820952169784,148.97820701728784,149.7130584716797,7679400
2025-08-05,149.66342122263458,151.02390259190332,149.27613013160342,149.4647979736328,6670100
2025-08-06,149.81238106404246,152.41418210669133,149.16690093070395,151.79849243164062,7376200
2025-08-07,152.05667714547644,152.94049607289915,151.63959558843922,152.4241180419922,6719000
2025-08-08,151.7091182320431,152.72202410062286,151.51051012954667,152.4439697265625,5811000
2025-08-11,152.47376023441552,154.3109192769718,152.2453616741109,153.9037628173828,7331700
2025-08-12,153.98321003035622,154.45987250998377,153.23841827657637,154.01300048828125,6938000
2025-08-13,154.1321719326598,155.9196599552201,153.8739677694877,154.33078002929688,5812400
2025-08-14,153.56612254900423,153.6257034625584,152.20564118009628,152.67237854003906,6343700
2025-08-15,153.39730740628025,154.51946513923528,153.13911839240126,153.28807067871094,7121700
2025-08-18,153.34765073084475,155.83028984088853,153.09938681984036,154.6386260986328,8274500
2025-08-19,154.6485463831562,157.59792276624896,154.5889654708232,157.3000030517578,7868100
2025-08-20,157.47876351174628,159.91174677295075,157.3099458731055,158.4022979736328,7840400
2025-08-21,156.83326852909482,157.9554262410194,156.08847680585137,157.62771606445312,6417500
2025-08-22,158.27320663756868,159.56416679743407,157.21062987046224,157.56813049316406,5797300
2025-08-25,157.2900780819457,157.59792289780728,154.80743904715723,155.0656280517578,4692500
2025-08-26,154.83723078500768,155.61181295804715,154.26125670583,154.8868865966797,6338000
2025-08-27,155.065637808508,156.03884328141413,154.70813715889145,155.87002563476562,4551200
2025-08-28,155.90973825465326,155.91966335621234,153.9534173968114,154.56910705566406,5857400
2025-08-29,155.00604782500864,156.4658407961474,154.56910092850094,155.94944763183594,5318200
2025-09-02,156.26723813181923,157.75682161102972,155.88987213484802,156.8928680419922,6432800
2025-09-03,156.5552163190572,157.53834686228527,155.4132083888322,157.0716094970703,6592500
2025-09-04,157.41918821438233,158.64064243919776,156.7141120251865,158.08453369140625,6934900
2025-09-05,157.44897469767807,159.4450110783647,157.3099475142396,158.9087677001953,6436200
2025-09-08,158.5016164419749,159.15703682228894,157.15106012170375,157.90577697753906,7178400
2025-09-09,157.50855776642823,158.75980243449237,157.10140131192162,158.3526611328125,4984900
2025-09-10,157.49862849363453,157.8362637701154,154.8074410773866,156.25730895996094,6205500
2025-09-11,156.62474281994054,158.2434284247454,156.29703262770738,157.52842712402344,5819500
2025-09-12,156.83327251312446,158.02495142284727,156.6843202258225,156.80348205566406,5957000
2025-09-15,156.78363249437024,157.4191875108382,155.11529110562498,155.7409210205078,5995000
2025-09-16,156.04876930573735,157.2900889085744,155.80050538516994,156.95245361328125,6559600
2025-09-17,157.3297989477332,160.5473047003985,157.3297989477332,159.21661376953125,6764200
2025-09-18,157.05174666754644,157.91571539621702,156.06863126133166,156.22752380371094,7651500
2025-09-19,156.5154949585322,156.52542005959327,154.88688436777977,154.95639038085938,17224800
2025-09-22,154.99612632734056,154.99612632734056,151.98716894613847,152.0070343017578,8712900
2025-09-23,152.136114893359,152.22548626068308,149.92160514809314,151.44097900390625,8853400
2025-09-24,150.994116003069,152.5631457628522,150.735911833883,151.36154174804688,6483300
2025-09-25,152.16591624983818,152.8114115277917,150.72598855721418,151.09341430664062,7511400
2025-09-26,151.17284974910808,151.6197217385544,150.47771385965532,151.44097900390625,5721100
2025-09-29,151.36154426384016,152.65251967274722,150.73591433927763,152.46383666992188,8139700
2025-09-30,152.3943247110678,153.30793407870752,151.778619912247,152.58299255371094,7762600
2025-10-01,152.63264989302996,152.8213328903871,150.3585591289462,152.1162567138672,7566000
2025-10-02,151.65945555472885,151.7389018226974,150.57702856520672,150.99411010742188,6892100
2025-10-03,150.9444561855714,152.36451846711844,150.9444561855714,151.21258544921875,5212600
2025-10-06,150.4479360918388,151.26224902589098,149.35556877855595,149.36550903320312,6737000
2025-10-07,149.71305984017872,152.1063275214406,149.0079988354484,151.48069763183594,6844400
2025-10-08,151.72896241014092,151.72896241014092,149.58397377439974,149.6435546875,5254700
2025-10-09,149.6932095524147,149.8222964790399,148.54126139700892,149.53431701660156,6134500
2025-10-10,149.89181695529618,150.45785077638692,148.41215863390167,148.65049743652344,7374000
2025-10-13,147.96528302316233,148.39228965383253,145.94938138614665,146.4657745361328,7511100
2025-10-14,146.54522126774023,148.21354739216497,146.05861857170342,148.12417602539062,8585300
2025-10-15,147.49854782099578,148.37244160243384,146.24730321352166,146.39625549316406,10003100
2025-10-16,146.98215675814333,149.35555908216645,146.89278538908428,148.56112670898438,8809700
2025-10-17,149.52439470853963,150.97424745464548,149.38535237248615,150.34861755371094,8612900
2025-10-20,150.53729849486277,151.33174602509973,150.24931903097536,150.9047393798828,5601300
2025-10-21,150.9047433328611,151.22251326158414,149.82230115755564,150.5670928955078,6013400
2025-10-22,150.249322385297,152.39432621897618,149.74285430764053,151.14306640625,6394400
2025-10-23,151.29202705612448,152.2354268476482,149.53431439744128,151.1529998779297,8205400
2025-10-24,156.39999389648438,157.39999389648438,151.52999877929688,152.49000549316406,11968500
2025-10-27,151.61000061035156,151.75999450683594,150.1300048828125,151.74000549316406,7775300
2025-10-28,151.1199951171875,153.1699981689453,150.6199951171875,151.3699951171875,5819300
2025-10-29,150.66000366210938,150.97000122070312,148.47000122070312,148.77000427246094,7405500
2025-10-30,149.47000122070312,150.8000030517578,149.33999633789062,149.5800018310547,6760700
2025-10-31,148.7100067138672,151.10000610351562,148.52999877929688,150.3699951171875,7930300
2025-11-03,150.10000610351562,150.22000122070312,147.77000427246094,148.02000427246094,8946400
2025-11-04,148.60000610351562,149.5,146.25,147.1699981689453,9295400
2025-11-05,146.8699951171875,147.4199981689453,145.64999389648438,145.7899932861328,11199900
2025-11-06,145.8800048828125,146.67999267578125,144.4600067138672,146.1300048828125,10024500
2025-11-07,146.9499969482422,147.94000244140625,146.0,146.97999572753906,8500100
2025-11-10,146.3800048828125,146.6199951171875,144.08999633789062,145.5,10208100
2025-11-11,145.9600067138672,148.64999389648438,145.6699981689453,148.5399932861328,7332500
2025-11-12,148.52999877929688,149.14999389648438,147.50999450683594,148.00999450683594,7851100
2025-11-13,148.17999267578125,149.0,147.63999938964844,147.9600067138672,7566800
2025-11-14,149.10000610351562,149.3800048828125,147.61000061035156,147.6699981689453,9150800
2025-11-17,147.75,147.97999572753906,145.00999450683594,145.82000732421875,9902300
2025-11-18,146.3300018310547,147.38999938964844,145.50999450683594,146.99000549316406,10735200
2025-11-19,146.9600067138672,147.5399932861328,145.86000061035156,146.99000549316406,6367000
2025-11-20,146.63999938964844,148.66000366210938,146.1300048828125,148.19000244140625,9021300
2025-11-21,148.3800048828125,151.5,148.3000030517578,150.9199981689453,12018000
2025-11-24,150.10000610351562,150.41000366210938,146.5399932861328,146.97999572753906,13846900
2025-11-25,147.32000732421875,148.64999389648438,147.22000122070312,148.49000549316406,10477700
2025-11-26,147.9199981689453,148.97000122070312,147.61000061035156,148.25,9238500
2025-11-28,147.8000030517578,148.7100067138672,147.17999267578125,148.16000366210938,4707200
2025-12-01,148.10000610351562,148.88999938964844,147.35000610351562,147.44000244140625,8239500
2025-12-02,145.2899932861328,146.19000244140625,142.50999450683594,143.77999877929688,3892158
